keywords,tf_tc1,tf_t1,ctfidf1,tf_tc2,tf_t2,ctfidf2,tf_tc3,tf_t3,ctfidf3,relative_tf_tc1,relative_tf_tc3,relative_tc_t,,,,relative_A
wear,2585,68049,12746.78384,49399,68049,243589.3134,8286,68049,40858.74311,60.11627907,63.2519084,123.3681875,,,,
support,2720,67768,13423.6507,48105,67768,237406.1459,8068,67768,39816.91684,63.25581395,61.58778626,124.8436002,,,,
involve,2799,65851,13893.27819,45504,65851,225866.2846,7264,65851,36056.01027,65.09302326,55.45038168,120.5434049,,,,
talk,2734,64254,13637.29854,44262,64254,220780.5808,7349,64254,36657.09838,63.58139535,56.09923664,119.680632,,,,
note,2634,63513,13168.84024,44877,63513,224365.2404,7493,63513,37461.70079,61.25581395,57.19847328,118.4542872,,,,
recommend,2506,60540,12648.24414,42720,60540,215615.7181,7181,60540,36243.83127,58.27906977,54.81679389,113.0958637,,,,
compare,2458,60503,12407.47234,43141,60503,217766.7877,6873,60503,34693.4733,57.1627907,52.46564885,109.6284396,,,,
hear,2472,60293,12486.6813,40635,60293,205257.4008,7241,60293,36576.07578,57.48837209,55.27480916,112.7631813,,,,
publish,2377,59975,12019.30269,41304,59975,208853.7141,6905,59975,34915.13886,55.27906977,52.70992366,107.9889934,,,,
associate,2306,58713,11709.02299,41832,58713,212407.5672,6042,58713,30679.06198,53.62790698,46.1221374,99.75004438,,,,
meet,2431,57408,12398.03309,38939,57408,198587.8283,6749,57408,34419.71425,56.53488372,51.51908397,108.0539677,,,,
identify,2288,57262,11674.5278,39586,57262,201987.7,6507,57262,33201.98969,53.20930233,49.67175573,102.8810581,,,,
send,2289,57113,11685.558,38609,57113,197102.5376,7037,57113,35924.53981,53.23255814,53.71755725,106.9501154,,,,
kill,2102,56752,10744.1535,36488,56752,186504.6017,7309,56752,37359.19025,48.88372093,55.79389313,104.6776141,,,,
return,2337,56605,11951.35616,39397,56605,201475.2155,6807,56605,34810.81788,54.34883721,51.96183206,106.3106693,,,,
reach,2223,56240,11382.65774,38842,56240,198886.7261,6473,56240,33144.37408,51.69767442,49.41221374,101.1098882,,,,
confirm,2350,56078,12039.68757,37565,56078,192455.6866,7891,56078,40427.73387,54.65116279,60.23664122,114.887804,,,,
release,2147,55695,11014.28997,38053,55695,195215.0798,6637,55695,34048.36635,49.93023256,50.66412214,100.5943547,,,,
watch,2214,55531,11364.496,37844,55531,194253.8332,6734,55531,34565.72541,51.48837209,51.40458015,102.8929522,,,,
pay,2240,55500,11499.19785,36856,55500,189202.8731,6639,55500,34081.77433,52.09302326,50.67938931,102.7724126,,,,
understand,2320,55327,11917.08385,38318,55327,196827.0772,6419,55327,32972.31089,53.95348837,49,102.9534884,,,,
spend,2106,54897,10834.17112,37074,54897,190724.6249,6555,54897,33721.74343,48.97674419,50.03816794,99.01491212,,,,
build,2123,54304,10944.5502,37330,54304,192444.6816,6140,54304,31653.10327,49.37209302,46.87022901,96.24232203,,,,
protect,2041,53513,10551.59809,37571,53513,194235.2239,6694,53513,34606.76023,47.46511628,51.09923664,98.56435292,,,,
spread,2124,53148,10995.14755,35615,53148,184365.4332,7831,53148,40538.13582,49.39534884,59.77862595,109.1739748,,,,
break,2220,53033,11496.88502,35973,53033,186296.1463,5935,53033,30736.04171,51.62790698,45.30534351,96.93325049,,,,
produce,2021,52949,10469.49399,35987,52949,186425.3737,6010,52949,31133.92324,47,45.8778626,92.8778626,,,,
manage,2176,52917,11273.75682,37436,52917,193954.2098,5855,52917,30334.48815,50.60465116,44.69465649,95.29930765,,,,
fall,2397,51844,12467.57805,34595,51844,179939.8676,5901,51844,30693.02381,55.74418605,45.04580153,100.7899876,,,,
hit,2050,51637,10670.8744,34895,51637,181639.1036,6274,51637,32658.08098,47.6744186,47.89312977,95.56754838,,,,
drive,1940,49717,10171.40462,33558,49717,175944.328,5799,49717,30404.11104,45.11627907,44.26717557,89.38345464,,,,
diagnose,2025,49170,10639.34428,33858,49170,177889.8364,5410,49170,28424.12473,47.09302326,41.29770992,88.39073318,,,,
check,2009,49128,10556.98814,34271,49128,180088.8704,5965,49128,31345.16389,46.72093023,45.53435115,92.25528138,,,,
pass,2036,49125,10698.9927,33533,49125,176212.8301,5703,49125,29968.74035,47.34883721,43.53435115,90.88318835,,,,
walk,2147,49118,11282.59185,33269,49118,174830.2506,5759,49118,30263.8316,49.93023256,43.96183206,93.89206462,,,,
seek,2120,48938,11148.44825,34113,48938,179390.1016,5667,48938,29801.06427,49.30232558,43.25954198,92.56186757,,,,
serve,1791,48010,9452.447071,33308,48010,175791.2379,5358,48010,28278.17499,41.65116279,40.90076336,82.55192615,,,,
carry,1870,45603,9965.095593,30654,45603,163352.9627,5455,45603,29069.30292,43.48837209,41.64122137,85.12959347,,,,
result,1805,45592,9619.148594,32007,45592,170570.6864,5187,45592,27642.39543,41.97674419,39.59541985,81.57216403,,,,
claim,1732,45347,9239.406624,30186,45347,161028.1342,5611,45347,29932.04998,40.27906977,42.83206107,83.11113084,,,,
raise,1879,44835,10044.81621,30657,44835,163887.1371,4886,44835,26119.72965,43.69767442,37.29770992,80.99538434,,,,
focus,1691,44302,9059.927267,30791,44302,164969.9707,5048,44302,27045.83847,39.3255814,38.53435115,77.85993254,,,,
perform,1933,44280,10357.45439,30813,44280,165103.074,4867,44280,26078.49484,44.95348837,37.15267176,82.10616013,,,,
ensure,1733,43980,9297.534678,30703,43980,164721.4121,5464,43980,29314.32746,40.30232558,41.70992366,82.01224925,,,,
decide,1766,43777,9482.711611,29404,43777,157887.6853,5405,43777,29022.68191,41.06976744,41.25954198,82.32930943,,,,
drink,1731,43519,9304.959989,29513,43519,158646.6113,4624,43519,24856.2305,40.25581395,35.29770992,75.55352388,,,,
remove,1785,43504,9595.848544,29774,43504,160059.8289,4818,43504,25900.72733,41.51162791,36.77862595,78.29025386,,,,
visit,1775,43294,9550.639567,29211,43294,157173.9337,5422,43294,29173.84098,41.27906977,41.38931298,82.66838274,,,,
cover,1566,42122,8468.86729,28742,42122,155435.6218,5235,42122,28310.67705,36.41860465,39.96183206,76.38043671,,,,
stand,1673,41748,9062.373439,28126,41748,152354.0438,5152,41748,27907.56005,38.90697674,39.32824427,78.23522102,,,,
sit,1514,41297,8217.467823,28075,41297,152381.3799,4987,41297,27067.7094,35.20930233,38.06870229,73.27800462,,,,
hope,1695,41199,9203.882592,27908,41199,151540.9766,4869,41199,26438.76362,39.41860465,37.16793893,76.58654358,,,,
sell,1796,40957,9762.848976,27504,40957,149508.5736,4525,40957,24597.37841,41.76744186,34.54198473,76.30942659,,,,
post,1685,39525,9219.177103,27525,39525,150598.1304,4956,39525,27115.87046,39.18604651,37.83206107,77.01810758,,,,
fight,1604,39167,8790.53346,26613,39167,145849.4183,4704,39167,25779.71908,37.30232558,35.90839695,73.21072253,,,,
choose,1791,38882,9828.390582,27547,38882,151168.4396,3982,38882,21851.84327,41.65116279,30.39694656,72.04810936,,,,
deliver,1636,38667,8986.838035,26799,38667,147211.658,4449,38667,24439.14573,38.04651163,33.96183206,72.00834369,,,,
admit,1583,37964,8724.626381,25817,37964,142289.1215,4534,37964,24988.91725,36.81395349,34.61068702,71.42464051,,,,
wait,1600,37785,8825.852392,26136,37785,144170.2988,4466,37785,24635.16049,37.20930233,34.09160305,71.30090538,,,,
save,1561,37653,8616.163133,25305,37653,139674.5728,4316,37653,23822.78032,36.30232558,32.94656489,69.24889047,,,,
maintain,1407,37307,7779.075199,26273,37307,145259.1633,4394,37307,24293.71459,32.72093023,33.54198473,66.26291497,,,,
remember,1578,36942,8739.959888,24913,36942,137983.9168,4366,36942,24181.66342,36.69767442,33.32824427,70.02591869,,,,
control,1459,36774,8087.48688,25419,36774,140901.8705,4138,36774,22937.64271,33.93023256,31.58778626,65.51801882,,,,
determine,1532,36687,8495.752899,25704,36687,142542.3189,4257,36687,23607.32382,35.62790698,32.49618321,68.12409018,,,,
infect,1622,36286,9012.607977,25272,36286,140423.3223,5413,36286,30077.21762,37.72093023,41.32061069,79.04154092,,,,
plan,1345,35274,7511.363027,24239,35274,135366.4895,4365,35274,24377.02574,31.27906977,33.32061069,64.59968045,,,,
enjoy,1467,35261,8193.229846,23879,35261,133364.7822,4272,35261,23859.22147,34.11627907,32.61068702,66.72696609,,,,
recover,1617,34593,9061.795464,25000,34593,140101.9707,4229,34593,23699.64936,37.60465116,32.28244275,69.88709391,,,,
catch,1524,34441,8547.30261,23441,34441,131468.0581,4332,34441,24295.87592,35.44186047,33.06870229,68.51056276,,,,
bear,1426,34136,8010.311122,22885,34136,128552.5736,3849,34136,21621.09923,33.1627907,29.38167939,62.54447009,,,,
feature,1383,33979,7775.118293,23046,33979,129562.8172,3929,33979,22088.53201,32.1627907,29.99236641,62.15515711,,,,
respond,1331,33893,7486.139154,23437,33893,131820.1678,3932,33893,22115.32619,30.95348837,30.01526718,60.96875555,,,,
cut,1248,33312,7040.811771,22513,33312,127011.054,3710,33312,20930.61833,29.02325581,28.32061069,57.3438665,,,,
enter,1218,33244,6874.041522,23223,33244,131063.9296,4027,33244,22727.22923,28.3255814,30.74045802,59.06603941,,,,
struggle,1402,32812,7930.758242,22843,32812,129217.0546,3516,32812,19889.11981,32.60465116,26.83969466,59.44434582,,,,
conduct,1243,32575,7040.314949,22838,32575,129353.7513,3765,32575,21324.84777,28.90697674,28.74045802,57.64743476,,,,
drop,1431,32337,8115.598655,22020,32337,124881.5391,3657,32337,20739.86323,33.27906977,27.91603053,61.1951003,,,,
apply,1309,32053,7435.210251,22691,32053,128886.4445,3686,32053,20936.73414,30.44186047,28.13740458,58.57926505,,,,
